design,method,nominal,coverage,calibration_error,mcse
lognormal_s2.0_prop,IREG_HC1,0.80,0.644050,-0.155950,0.003386
lognormal_s2.0_prop,IREG_HC1,0.90,0.754750,-0.145250,0.003042
lognormal_s2.0_prop,IREG_HC1,0.95,0.829700,-0.120300,0.002658
lognormal_s2.0_prop,IREG_HC1,0.98,0.890550,-0.089450,0.002208
lognormal_s2.0_prop,IREG_HC1,0.99,0.919000,-0.071000,0.001929
lognormal_s2.0_prop,IREG_HC1c,0.80,0.745500,-0.054500,0.003080
lognormal_s2.0_prop,IREG_HC1c,0.90,0.882800,-0.017200,0.002274
lognormal_s2.0_prop,IREG_HC1c,0.95,0.951250,+0.001250,0.001523
lognormal_s2.0_prop,IREG_HC1c,0.98,0.985850,+0.005850,0.000835
lognormal_s2.0_prop,IREG_HC1c,0.99,0.994650,+0.004650,0.000516
lognormal_s2.0_prop,IREG_HC1o,0.80,0.644050,-0.155950,0.003386
lognormal_s2.0_prop,IREG_HC1o,0.90,0.754750,-0.145250,0.003042
lognormal_s2.0_prop,IREG_HC1o,0.95,0.829700,-0.120300,0.002658
lognormal_s2.0_prop,IREG_HC1o,0.98,0.890550,-0.089450,0.002208
lognormal_s2.0_prop,IREG_HC1o,0.99,0.919000,-0.071000,0.001929
lognormal_s2.0_prop,IREG_HC3,0.80,0.794750,-0.005250,0.002856
lognormal_s2.0_prop,IREG_HC3,0.90,0.892200,-0.007800,0.002193
lognormal_s2.0_prop,IREG_HC3,0.95,0.938600,-0.011400,0.001697
lognormal_s2.0_prop,IREG_HC3,0.98,0.968850,-0.011150,0.001228
lognormal_s2.0_prop,IREG_HC3,0.99,0.980350,-0.009650,0.000981
lognormal_s2.0_prop,IREG_HC3c,0.80,0.856900,+0.056900,0.002476
lognormal_s2.0_prop,IREG_HC3c,0.90,0.945700,+0.045700,0.001602
lognormal_s2.0_prop,IREG_HC3c,0.95,0.980550,+0.030550,0.000977
lognormal_s2.0_prop,IREG_HC3c,0.98,0.994650,+0.014650,0.000516
lognormal_s2.0_prop,IREG_HC3c,0.99,0.998200,+0.008200,0.000300
lognormal_s2.0_prop,REG_HC1,0.80,0.763250,-0.036750,0.003006
lognormal_s2.0_prop,REG_HC1,0.90,0.887750,-0.012250,0.002232
lognormal_s2.0_prop,REG_HC1,0.95,0.953050,+0.003050,0.001496
lognormal_s2.0_prop,REG_HC1,0.98,0.986100,+0.006100,0.000828
lognormal_s2.0_prop,REG_HC1,0.99,0.994750,+0.004750,0.000511
heavy_tail_example,IREG_HC1,0.80,0.671770,-0.128230,0.001485
heavy_tail_example,IREG_HC1,0.90,0.785140,-0.114860,0.001299
heavy_tail_example,IREG_HC1,0.95,0.855580,-0.094420,0.001112
heavy_tail_example,IREG_HC1,0.98,0.911630,-0.068370,0.000898
heavy_tail_example,IREG_HC1,0.99,0.936760,-0.053240,0.000770
heavy_tail_example,IREG_HC1c,0.80,0.752860,-0.047140,0.001364
heavy_tail_example,IREG_HC1c,0.90,0.881290,-0.018710,0.001023
heavy_tail_example,IREG_HC1c,0.95,0.943630,-0.006370,0.000729
heavy_tail_example,IREG_HC1c,0.98,0.979270,-0.000730,0.000451
heavy_tail_example,IREG_HC1c,0.99,0.990670,+0.000670,0.000304
heavy_tail_example,IREG_HC1o,0.80,0.682330,-0.117670,0.001472
heavy_tail_example,IREG_HC1o,0.90,0.795390,-0.104610,0.001276
heavy_tail_example,IREG_HC1o,0.95,0.864560,-0.085440,0.001082
heavy_tail_example,IREG_HC1o,0.98,0.917900,-0.062100,0.000868
heavy_tail_example,IREG_HC1o,0.99,0.941980,-0.048020,0.000739
heavy_tail_example,IREG_HC3,0.80,0.797900,-0.002100,0.001270
heavy_tail_example,IREG_HC3,0.90,0.892620,-0.007380,0.000979
heavy_tail_example,IREG_HC3,0.95,0.940190,-0.009810,0.000750
heavy_tail_example,IREG_HC3,0.98,0.970200,-0.009800,0.000538
heavy_tail_example,IREG_HC3,0.99,0.981650,-0.008350,0.000424
heavy_tail_example,IREG_HC3c,0.80,0.849330,+0.049330,0.001131
heavy_tail_example,IREG_HC3c,0.90,0.936380,+0.036380,0.000772
heavy_tail_example,IREG_HC3c,0.95,0.972870,+0.022870,0.000514
heavy_tail_example,IREG_HC3c,0.98,0.991390,+0.011390,0.000292
heavy_tail_example,IREG_HC3c,0.99,0.996190,+0.006190,0.000195
heavy_tail_example,REG_HC1,0.80,0.761760,-0.038240,0.001347
heavy_tail_example,REG_HC1,0.90,0.882760,-0.017240,0.001017
heavy_tail_example,REG_HC1,0.95,0.943740,-0.006260,0.000729
heavy_tail_example,REG_HC1,0.98,0.978490,-0.001510,0.000459
heavy_tail_example,REG_HC1,0.99,0.990220,+0.000220,0.000311
large_hte_n500_p5,IREG_HC1,0.80,0.521200,-0.278800,0.003532
large_hte_n500_p5,IREG_HC1,0.90,0.639500,-0.260500,0.003395
large_hte_n500_p5,IREG_HC1,0.95,0.727450,-0.222550,0.003149
large_hte_n500_p5,IREG_HC1,0.98,0.806900,-0.173100,0.002791
large_hte_n500_p5,IREG_HC1,0.99,0.853150,-0.136850,0.002503
large_hte_n500_p5,IREG_HC1c,0.80,0.801650,+0.001650,0.002820
large_hte_n500_p5,IREG_HC1c,0.90,0.900250,+0.000250,0.002119
large_hte_n500_p5,IREG_HC1c,0.95,0.951800,+0.001800,0.001515
large_hte_n500_p5,IREG_HC1c,0.98,0.981450,+0.001450,0.000954
large_hte_n500_p5,IREG_HC1c,0.99,0.990950,+0.000950,0.000670
large_hte_n500_p5,IREG_HC1o,0.80,0.802400,+0.002400,0.002816
large_hte_n500_p5,IREG_HC1o,0.90,0.900300,+0.000300,0.002118
large_hte_n500_p5,IREG_HC1o,0.95,0.951400,+0.001400,0.001520
large_hte_n500_p5,IREG_HC1o,0.98,0.982000,+0.002000,0.000940
large_hte_n500_p5,IREG_HC1o,0.99,0.991650,+0.001650,0.000643
large_hte_n500_p5,IREG_HC3,0.80,0.526600,-0.273400,0.003531
large_hte_n500_p5,IREG_HC3,0.90,0.645650,-0.254350,0.003382
large_hte_n500_p5,IREG_HC3,0.95,0.732650,-0.217350,0.003129
large_hte_n500_p5,IREG_HC3,0.98,0.813050,-0.166950,0.002757
large_hte_n500_p5,IREG_HC3,0.99,0.857350,-0.132650,0.002473
large_hte_n500_p5,IREG_HC3c,0.80,0.803750,+0.003750,0.002808
large_hte_n500_p5,IREG_HC3c,0.90,0.901350,+0.001350,0.002109
large_hte_n500_p5,IREG_HC3c,0.95,0.952800,+0.002800,0.001500
large_hte_n500_p5,IREG_HC3c,0.98,0.981750,+0.001750,0.000946
large_hte_n500_p5,IREG_HC3c,0.99,0.991200,+0.001200,0.000660
large_hte_n500_p5,REG_HC1,0.80,0.802050,+0.002050,0.002817
