design,source,hte,n,p,reps,G,R2_tau,PATE,IREG_HC1,IREG_HC1c,IREG_HC2,IREG_HC2c,IREG_HC3,IREG_HC3c,REG_HC1,REG_HC3,IREG_HC1_mcse,IREG_HC1c_mcse,IREG_HC2_mcse,IREG_HC2c_mcse,IREG_HC3_mcse,IREG_HC3c_mcse,REG_HC1_mcse,REG_HC3_mcse,IREG_HC1o,IREG_HC3o,plug_mean,plug_median,G_over_n,plug_mean_over_G_over_n,HC1_width_ratio_median,HC1_frac_miss_to_cover,frac_rank_deficient,frac_leverage_one
gauss_quad,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.94885,0.949,0.94925,0.94935,0.95025,0.9506,0.94865,0.94995,0.001557781716095038,0.0015556188479187317,0.0015520057586877693,0.0015505576013163777,0.0015374481698580927,0.0015323126312864485,0.0015606597563210247,0.0015418332837891396,,,3.092835281603248e-05,1.39529836768553e-05,0.0,,1.000741333182761,0.00015,0.0,0.0
lognormal_s0.6_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.94525,0.9468,0.94665,0.94785,0.9485,0.9498,0.9468,0.9486,0.0016086086767763,0.001586974479946039,0.0015890842881987098,0.0015721065087963987,0.0015628139684556186,0.001544020077589667,0.001586974479946039,0.0015613782373275222,,,0.0002991978726150778,0.000127169869417447,0.0,,1.0014850748517161,0.00155,0.0,0.0
lognormal_s0.8_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.9441,0.94725,0.9462,0.9498,0.9509,0.95375,0.94735,0.9508,0.0016244258985869432,0.0015806238878999642,0.0015953927416156807,0.001544020077589667,0.0015278938117552546,0.0014851083714665406,0.001579208306399127,0.0015293684971255297,,,0.000937149316705317,0.0003525922002342525,0.0,,1.0031297876842697,0.00315,0.0,0.0
lognormal_s1.0_log,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.9451,0.95105,0.95025,0.95515,0.9569,0.9609,0.9505,0.9563,0.0016106829296916255,0.0015256784966040527,0.0015374481698580927,0.0014635313030475288,0.001436008182427942,0.001370605523117429,0.0015337820901288421,0.0014455156519387808,,,0.00077266355041625,0.00023672214895160601,0.0,,1.0060067322681694,0.00595,0.0,0.0
lognormal_s1.0_log_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.9423,0.94905,0.94735,0.9537,0.9547,0.96,0.94915,0.95605,0.0016487981986889719,0.0015548970625092846,0.001579208306399127,0.0014858719662205085,0.001470508585490068,0.0013856406460551025,0.0015534522441967753,0.0014494550268980414,,,0.004134125907422494,0.001285052499817425,0.0,,1.00683434446697,0.00675,0.0,0.0
lognormal_s1.0_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.94225,0.95015,0.94715,0.9537,0.9537,0.9595,0.951,0.9576,0.0016494686644492518,0.0015389115877788425,0.0015820378867144737,0.0014858719662205085,0.0014858719662205085,0.0013939108651560184,0.0015264173741149573,0.0014248199886301427,,,0.0033565474623434306,0.0010649773538202651,0.0,,1.0064753835252276,0.0079,0.0,0.0
lognormal_s1.0_prop_p5_n200,"current paper, Section 3 (r/gamma0_sim.R)",False,200,5,20000,0.0,0.0,1.0,0.93055,0.9487,0.9385,0.95475,0.95545,0.96625,0.94885,0.96065,0.0017975914093586454,0.001559940864263771,0.0016987900105663442,0.0014697353078020547,0.001458857386792828,0.0012769286882986057,0.001557781716095038,0.0013748013947476195,,,0.01941648862818962,0.009279411537281759,0.0,,1.0235616288470073,0.01815,0.0,0.0
lognormal_s1.0_prop_p5_n500,"current paper, Section 3 (r/gamma0_sim.R)",False,500,5,20000,0.0,0.0,1.0,0.9425,0.95085,0.94735,0.95455,0.9547,0.96125,0.95075,0.95715,0.0016461128454635181,0.0015286313731570477,0.001579208306399127,0.0014728254733674317,0.001470508585490068,0.0013647057833100868,0.0015301051842928973,0.0014320243974876973,,,0.004080105776390631,0.001856401392945345,0.0,,1.0110234306462493,0.00835,0.0,0.0
lognormal_s1.0_quadstd,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.93005,0.951,0.94465,0.95865,0.95665,0.96545,0.9507,0.96205,0.0018035658776435082,0.0015264173741149573,0.0016168855478975624,0.0014078383696291275,0.0014399787758852557,0.0012914390713463792,0.001530841435289756,0.0013511069073171085,,,0.010747574712058823,0.0004390732288232275,0.0,,1.017079622480926,0.02095,0.0,0.0
lognormal_s1.2_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.92565,0.9461,0.9372,0.9524,0.9509,0.9621,0.948,0.95835,0.0018550212599859877,0.001596790374469986,0.001715461453953425,0.0015055603607959393,0.0015278938117552546,0.0013502516432132203,0.00156996815254323,0.0014127150721217631,,,0.014008275587381897,0.0034369699540483453,0.0,,1.012441348226741,0.02045,0.0,0.0
